sig_cutted,sig_cutted2
187.3511,27.68734
189.0311,30.69605
177.5013,30.22605
176.413,31.72039
182.8433,32.59571
201.0013,31.05024
204.6523,31.80272
196.2602,30.47582
187.0025,29.56037
163.7063,29.64088
140.1619,27.94083
128.3358,28.08947
120.7801,28.64351
130.168,26.41468
137.6778,27.36929
148.9684,27.62531
176.7272,26.8741
166.6212,28.27212
181.119,29.16632
187.3624,28.02449
186.967,27.41814
181.8471,26.40764
183.4156,25.15565
168.9524,23.92351
150.7005,24.86648
134.69,25.40961
126.5058,26.26601
125.7276,28.1745
126.0606,28.74679
136.2257,29.45465
139.553,30.62638
145.1182,30.5989
151.6324,29.68566
146.4305,29.61431
161.7954,28.89661
166.6932,27.38072
176.583,27.59495
184.4168,27.90364
193.6553,27.45561
198.6241,27.59796
195.7107,29.21776
193.5347,27.95491
192.3282,28.79848
184.6808,28.82835
177.654,28.84225
176.789,28.40994
164.4049,27.89871
166.1935,28.66406
165.2834,28.88309
156.2475,29.8101
167.9605,30.53874
181.2921,29.59715
184.0412,28.50957
186.6826,28.03769
194.5725,26.5328
189.255,26.49117
171.8396,26.27534
176.9396,26.18254
166.4506,25.3532
163.7681,26.42769
162.0009,27.12641
157.9066,27.98976
155.7463,29.50623
151.1517,29.24113
141.7941,29.15434
156.4005,28.87859
165.2858,28.68752
183.8785,29.07662
203.4078,30.22541
219.2079,31.29677
228.4465,31.80863
216.6657,31.12813
213.476,30.65907
194.8428,28.94477
184.7436,28.36839
175.9603,28.38625
164.0947,28.95329
168.1042,29.94172
162.8258,30.43107
155.1205,31.24522
151.5687,30.62048
142.3109,29.11295
122.1034,27.04519
108.2877,27.4707
94.92969,25.56598
91.82797,27.24239
97.46769,28.6404
117.0958,29.86614
142.0914,30.44049
162.6803,30.25815
183.6348,29.9622
200.059,28.20855
198.2213,28.81868
197.8165,28.71116
191.6777,29.15292
183.4279,30.20171
169.2541,33.20142
169.2456,35.3301
161.488,36.57824
148.471,36.7985
154.1062,35.7352
146.0298,33.29502
132.9669,29.897
140.5421,29.07294
133.0157,29.09532
131.8077,30.18297
137.2597,31.20223
137.5185,33.3433
141.7802,33.58477
146.7901,32.25069
145.9105,30.81702
143.785,28.52246
140.1583,26.46905
123.9673,24.5057
123.9938,22.6178
111.3979,21.51185
111.9722,20.85939
130.6973,22.3921
142.5476,21.86894
179.8111,24.85937
202.8203,26.34026
220.2125,29.31967
229.1841,30.07964
198.1515,28.52109
174.7493,29.12337
158.5675,27.97605
129.541,25.76385
122.1664,24.78127
126.2501,25.46431
128.989,25.58485
134.0905,25.69773
144.2334,28.08337
145.5951,30.28045
144.7911,33.62302
142.0629,34.26929
125.0706,34.45907
126.5627,34.28987
119.6596,31.93419
125.4571,28.38722
139.3014,27.60119
167.9246,28.37079
204.398,28.57833
242.8277,31.15634
274.7936,34.65184
307.1066,38.02741
295.2637,39.23653
266.3327,38.77195
222.8859,37.77779
172.3448,34.6274
138.765,33.89191
126.9862,32.11875
133.7201,31.80554
148.7138,31.83969
152.2679,30.74422
158.0135,29.7832
148.0976,27.91141
144.0126,27.58751
137.5275,28.06446
148.4455,28.77979
147.0304,28.97463
146.0203,28.47311
154.4203,27.88984
158.2322,26.34117
155.9547,24.87436
152.4088,23.82834
155.1488,24.36431
137.5484,23.93683
131.5219,24.38514
135.1336,25.57216
130.0642,25.4498
144.0739,27.32544
155.2842,28.72924
150.5227,28.50296
148.7348,27.99153
148.669,28.28949
137.2147,27.58937
131.1252,26.26871
130.0939,26.4792
125.6251,26.55429
131.3536,24.30144
131.7062,22.86104
148.5354,23.13054
153.2998,22.12919
169.6516,23.06764
157.0496,24.83885
140.0995,24.96772
126.581,24.11248
113.0201,25.12097
108.3436,23.02426
126.0438,23.74484
143.3533,24.32997
168.0176,26.45279
171.8323,26.35307
168.8997,25.9559
162.0741,27.05647
149.1771,25.18675
140.0386,23.28411
139.7681,23.77111
127.8792,21.12778
131.2866,21.42505
128.968,22.68165
136.6715,23.26381
144.386,24.75723
164.0941,26.18048
179.8397,26.75397
180.1724,25.65834
192.486,24.97626
191.4154,24.65667
189.8634,22.20403
183.0478,21.54189
179.9328,22.11094
160.1901,19.76306
143.8538,19.45659
130.7997,22.09418
110.2526,22.2621
106.365,24.08011
104.3071,25.77148
109.8634,25.9622
138.0289,23.9137
146.9047,22.84797
168.4268,23.26743
200.6777,23.50396
184.0263,25.40476
189.2758,28.16898
173.1377,27.6194
180.2628,26.5316
161.2004,25.892
164.2539,23.05467
160.9431,22.64999
146.0361,22.27425
139.9989,22.01213
